# TOTAL_GENES = 11758
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
x153         COVAR   11758   -0.0050987   -0.0065234     0.028466      0.57107
x154         COVAR   11758     0.012735     0.015702     0.042273      0.38162
x155         COVAR   11758    -0.057577    -0.071557     0.043995      0.90467
x156         COVAR   11758    -0.035354    -0.046161     0.033906      0.85144
x157         COVAR   11758     0.007846     0.010084     0.035388      0.41227
x158         COVAR   11758    -0.014718     -0.01915     0.035433      0.66106
x159         COVAR   11758    -0.057387    -0.073198     0.041791      0.91514
x160         COVAR   11758     0.018977     0.023073      0.04579      0.33928
x161         COVAR   11758     0.024102     0.032269      0.02664      0.18281
x162         COVAR   11758     0.028443      0.03762     0.027092       0.1469
x163         COVAR   11758    -0.050056    -0.064214     0.035124      0.92293
x164         COVAR   11758    -0.017317    -0.022831     0.033875      0.69539
x165         COVAR   11758     0.026207     0.033219     0.038915      0.25034
x166         COVAR   11758     0.026058     0.033261     0.030858      0.19921
x167         COVAR   11758     0.054745     0.069631     0.035024     0.059035
x168         COVAR   11758  -0.00055723  -0.00069575     0.043397      0.50512
x169         COVAR   11758    -0.059942    -0.074091      0.04537      0.90676
x170         COVAR   11758    -0.031647    -0.041058     0.034024      0.82384
x171         COVAR   11758    -0.024922    -0.032737     0.029147      0.80373
x172         COVAR   11758     0.040037     0.048589     0.042333      0.17214
x173         COVAR   11758   -0.0087164    -0.010954     0.033744      0.60192
x174         COVAR   11758     0.020687     0.025744     0.043786      0.31831
x175         COVAR   11758     0.033348     0.044088     0.029966      0.13289
x176         COVAR   11758      0.01972     0.023867     0.047585      0.33929
x177         COVAR   11758    -0.074964    -0.094119     0.039009      0.97267
x178         COVAR   11758    0.0038423    0.0048833     0.037841      0.45956
x179         COVAR   11758     0.014692     0.019866     0.026372      0.28873
x180         COVAR   11758    -0.037828    -0.048669     0.037821      0.84138
x181         COVAR   11758    -0.024874    -0.031985     0.035881      0.75591
x182         COVAR   11758     -0.11334     -0.14218      0.03978      0.99781
x183         COVAR   11758     0.079237     0.098295     0.035071     0.011941
x184         COVAR   11758    -0.089721     -0.11908     0.037365      0.99182
x185         COVAR   11758    0.0024186    0.0033404     0.023155      0.45841
x186         COVAR   11758    -0.075314    -0.098309     0.034959      0.98438
x187         COVAR   11758   -0.0091045     -0.01151     0.038803      0.59275
x188         COVAR   11758    -0.040519    -0.050411      0.04067      0.84043
x189         COVAR   11758      0.03539       0.0439     0.044479      0.21312
x190         COVAR   11758        0.136      0.16112     0.041865   0.00058157
x191         COVAR   11758    -0.061232     -0.07903     0.035786      0.95645
x192         COVAR   11758    -0.067976    -0.084854     0.040148      0.95477
x193         COVAR   11758    -0.045859    -0.057972     0.039218      0.87885
x194         COVAR   11758     0.028064     0.035735     0.030276      0.17699
x195         COVAR   11758      -0.1101     -0.14038     0.039987      0.99705
x196         COVAR   11758     0.057989     0.072145     0.039569     0.071405
x197         COVAR   11758    -0.010329    -0.012658     0.041257      0.59884
x198         COVAR   11758    -0.025926    -0.034871     0.029174      0.81289
x199         COVAR   11758    0.0036228    0.0045309     0.039376      0.46335
x200         COVAR   11758    0.0039086    0.0048168     0.034697      0.45516
x201         COVAR   11758     -0.10499     -0.13199     0.040239      0.99546
x202         COVAR   11758     0.012575     0.016074     0.035489      0.36155
x203         COVAR   11758     0.014614      0.01855     0.032792      0.32793
x204         COVAR   11758    -0.025098    -0.031747     0.037088       0.7507
x205         COVAR   11758    -0.029179    -0.037258     0.041623      0.75835
x206         COVAR   11758    -0.035847    -0.045435     0.034572      0.85009
x207         COVAR   11758    0.0042714    0.0056614     0.031912      0.44676
x208         COVAR   11758     0.031571     0.041277     0.033155       0.1705
x209         COVAR   11758   -0.0083416    -0.010168     0.045177      0.57324
x210         COVAR   11758    -0.094966     -0.12635     0.036619      0.99524
x211         COVAR   11758   0.00075056   0.00095631     0.034475      0.49132
x212         COVAR   11758    -0.099869     -0.12712     0.036074      0.99718
x213         COVAR   11758     0.073332     0.090811     0.044786     0.050789
x214         COVAR   11758    -0.037787    -0.049967     0.032379      0.87839
x215         COVAR   11758    0.0067474    0.0083787     0.040581      0.43397
x216         COVAR   11758   -0.0023322    -0.002863     0.047341      0.51964
x217         COVAR   11758      0.02895     0.035924     0.039302      0.23069
x218         COVAR   11758     0.098847      0.12419     0.034365    0.0020149
x219         COVAR   11758    0.0054631    0.0070695     0.035522      0.43889
x220         COVAR   11758     0.031377     0.038174     0.036617      0.19576
x221         COVAR   11758    -0.030829    -0.039491     0.040515      0.77664
x222         COVAR   11758    -0.032233    -0.041626     0.038854       0.7966
x223         COVAR   11758     0.024649     0.031122      0.03639       0.2491
x224         COVAR   11758     -0.16593     -0.21899     0.038085      0.99999
x225         COVAR   11758     0.019015     0.024552     0.033955      0.28774
x226         COVAR   11758    -0.018392    -0.022658     0.038331      0.68431
x227         COVAR   11758     0.052073     0.066983     0.034804     0.067315
x228         COVAR   11758    0.0097241     0.012314     0.029479      0.37075
x229         COVAR   11758    0.0011739    0.0015095     0.035902      0.48696
x230         COVAR   11758    -0.015295    -0.019451     0.038188      0.65561
x231         COVAR   11758     -0.10672     -0.13592     0.039755      0.99636
x232         COVAR   11758     0.035098     0.042764     0.042248      0.20307
x233         COVAR   11758    -0.015181    -0.018784     0.034944      0.66801
x234         COVAR   11758      0.01403     0.017939     0.030743      0.32407
x235         COVAR   11758     0.021172      0.02712     0.030988      0.24723
x236         COVAR   11758     0.042203     0.054431     0.031786     0.092147
x237         COVAR   11758    -0.068166    -0.088683     0.039744      0.95682
x238         COVAR   11758     -0.08465     -0.11083     0.037509      0.98798
x239         COVAR   11758     0.050102     0.060349     0.047983      0.14821
x240         COVAR   11758     0.040588     0.052629     0.025868     0.058335
x241         COVAR   11758     0.074851     0.096816      0.03501      0.01627
x242         COVAR   11758    -0.090565     -0.11309     0.041353      0.98573
x243         COVAR   11758    -0.075833     -0.10022     0.036924      0.97999
x244         COVAR   11758     0.040913     0.053419     0.029701     0.084197
x245         COVAR   11758     0.078971     0.096341     0.035568     0.013209
x246         COVAR   11758     0.023758     0.028495     0.048745        0.313
x247         COVAR   11758    -0.017412    -0.021958     0.039287      0.67118
x248         COVAR   11758     -0.10321     -0.13368     0.041486      0.99357
x249         COVAR   11758     0.051626     0.066475     0.034631     0.068033
x250         COVAR   11758     0.045482     0.057929     0.031644     0.075331
x251         COVAR   11758     0.016928     0.022686     0.027316      0.26773
x252         COVAR   11758     0.023973     0.031287      0.02844      0.19964
x253         COVAR   11758    0.0069867    0.0085562     0.040346      0.43126
x254         COVAR   11758    -0.034361    -0.044608     0.038162      0.81604
x255         COVAR   11758    -0.034345    -0.042568     0.043782      0.78361
x256         COVAR   11758    0.0038065    0.0045991     0.048481      0.46871
x257         COVAR   11758     0.026184     0.032802     0.036518      0.23669
x258         COVAR   11758     0.017126      0.02176     0.037827      0.32537
x259         COVAR   11758    0.0034525    0.0044266     0.033433      0.45888
x260         COVAR   11758     0.082436     0.099575     0.045475     0.034947
x261         COVAR   11758   -0.0035457   -0.0046612     0.035139      0.54019
x262         COVAR   11758     0.048134      0.06164     0.030572     0.057703
x263         COVAR   11758    -0.034734    -0.043147     0.039885      0.80807
x264         COVAR   11758    -0.026142    -0.032072     0.039927      0.74368
x265         COVAR   11758    -0.074841    -0.094042     0.040124      0.96891
x266         COVAR   11758     0.044651     0.053727       0.0396      0.12977
x267         COVAR   11758     0.035938     0.048386     0.026384     0.086596
x268         COVAR   11758    -0.077126    -0.093792     0.045848      0.95372
x269         COVAR   11758     0.038746     0.051895       0.0276     0.080194
x270         COVAR   11758     0.084443      0.10756     0.034524    0.0072323
x271         COVAR   11758     0.016928     0.023201     0.024242       0.2425
x272         COVAR   11758    0.0025976    0.0033131     0.036181      0.47138
x273         COVAR   11758   -0.0056495   -0.0072878     0.035381      0.56343
x274         COVAR   11758    -0.087298     -0.10812     0.046138      0.97075
x275         COVAR   11758     -0.11763      -0.1537     0.036397      0.99938
x276         COVAR   11758    0.0026914    0.0032962     0.045047      0.47618
x277         COVAR   11758    0.0048338    0.0059749     0.046082      0.45823
x278         COVAR   11758     0.020621     0.026667     0.026743      0.22034
x279         COVAR   11758    -0.041737     -0.05155     0.038046      0.86367
x280         COVAR   11758     -0.11991     -0.15668     0.037018       0.9994
x281         COVAR   11758     -0.15209     -0.18921     0.050603      0.99867
x282         COVAR   11758     0.016363      0.02014     0.043974      0.35491
x283         COVAR   11758    -0.011743    -0.014567     0.044821      0.60334
x284         COVAR   11758    -0.024229    -0.029914     0.044907      0.70524
x285         COVAR   11758     0.010859     0.013965     0.031147      0.36369
